suid,T_surface
0,6.892
1,6.877
2,6.939
3,6.867
4,6.903
5,6.936
6,6.957
7,6.964
8,6.953
9,6.936
10,6.936
11,6.942
12,6.954
13,6.984
14,6.961
15,6.985
16,6.984
17,7.006
18,7.015
19,6.996
20,7.001
21,6.998
22,7.005
23,6.979
24,6.980
25,6.991
26,7.036
27,6.983
28,6.989
29,6.982
30,7.025
31,6.936
32,6.914
33,6.945
34,6.669
35,6.734
36,6.825
37,6.655
38,6.643
39,6.810
40,6.755
41,6.682
42,6.732
44,6.888
45,6.732
46,6.790
47,6.758
48,6.779
49,6.663
50,6.890
51,6.869
52,6.872
53,6.967
54,6.973
55,6.965
56,6.803
57,6.924
58,6.934
59,6.936
60,6.885
61,6.979
62,6.781
63,6.980
64,6.945
65,6.943
66,6.924
67,6.914
68,6.900
69,6.909
70,6.778
71,6.859
72,7.000
73,6.837
74,6.821
75,6.940
76,6.975
77,6.990
78,7.001
79,7.011
80,7.039
81,6.906
82,6.884
83,6.965
84,6.965
85,7.006
86,7.024
87,6.980
88,6.958
89,7.044
90,7.018
91,6.956
92,6.933
93,6.956
94,6.902
95,6.866
96,6.736
97,6.948
98,6.878
99,6.687
100,7.001
101,6.993
102,6.999
103,7.069
104,7.021
105,6.894
106,6.737
107,6.736
108,6.747
109,6.795
110,6.915
111,6.885
112,6.828
113,6.678
114,6.707
115,6.767
116,6.829
117,6.828
118,7.048
119,6.994
120,6.945
121,6.943
122,6.952
123,6.948
124,7.000
125,6.946
126,6.928
127,6.936
128,6.932
129,6.849
130,6.657
131,6.746
132,6.763
133,6.773
134,6.720
135,6.707
136,6.727
137,6.907
138,6.836
139,6.871
140,6.897
141,6.875
142,6.825
143,6.776
144,6.724
145,6.711
146,6.756
147,6.758
148,6.704
149,6.698
150,7.005
151,7.023
152,6.754
153,6.749
154,6.746
155,6.763
156,6.777
157,6.781
158,6.787
159,6.793
161,6.739
162,6.737
164,6.745
165,6.728
166,6.716
167,6.720
168,6.723
169,6.728
170,6.720
171,6.733
172,6.773
173,6.739
174,6.748
175,6.762
176,6.750
177,6.754
178,6.943
179,6.828
180,6.933
181,6.958
182,6.961
184,6.923
186,6.977
188,6.968
190,6.959
191,6.968
192,6.948
193,7.001
195,6.990
196,6.969
197,6.918
198,6.900
199,6.839
200,6.934
201,6.916
202,6.808
203,6.865
204,6.684
205,6.981
206,6.979
208,7.001
209,7.005
210,7.005
211,6.968
212,6.959
213,6.931
214,6.907
215,6.962
216,6.943
217,6.944
218,6.955
220,6.990
221,6.967
222,7.040
223,6.948
224,6.957
225,6.968
227,6.954
228,6.973
229,6.962
231,6.945
233,6.856
234,6.941
235,6.877
238,6.961
43,6.940
160,6.831
163,6.682
183,6.958
185,6.973
187,6.973
189,6.976
194,7.001
207,7.004
219,6.951
226,6.961
230,6.954
232,6.945
236,6.968
237,6.965
