suid,q_geothermal
0,41.390
1,40.844
2,41.262
3,40.618
4,40.613
5,40.644
6,40.720
7,40.717
8,40.721
9,40.798
10,40.732
11,40.769
12,40.751
13,40.673
14,40.606
15,40.582
16,40.587
17,40.586
18,40.580
19,40.659
20,40.647
21,40.666
22,40.653
23,40.563
24,40.550
25,40.745
26,40.806
27,40.991
28,40.935
29,40.549
30,41.151
31,40.955
32,40.789
33,40.856
34,41.932
35,41.632
36,41.775
37,42.163
38,41.906
39,41.696
40,41.847
41,41.329
42,41.331
44,40.609
45,41.283
46,41.016
47,41.037
48,41.064
49,41.416
50,40.772
51,41.184
52,41.268
53,40.654
54,40.662
55,40.664
56,40.829
57,40.657
58,40.883
59,40.617
60,40.614
61,40.556
62,40.957
63,41.264
64,40.751
65,40.750
66,40.595
67,40.599
68,40.773
69,40.787
70,40.759
71,40.759
72,41.144
73,40.972
74,40.639
75,40.586
76,40.550
77,40.553
78,40.750
79,40.780
80,40.815
81,41.178
82,41.185
83,40.780
84,40.602
85,40.591
86,40.582
87,40.628
88,40.621
89,40.589
90,40.596
91,40.640
92,40.625
93,40.653
94,40.743
95,40.727
96,40.695
97,41.285
98,41.588
99,40.787
100,40.671
101,40.688
102,40.672
103,40.677
104,40.548
105,41.364
106,40.837
107,40.709
108,40.854
109,41.358
110,41.536
111,41.530
112,41.537
113,42.087
114,41.942
115,41.885
116,41.368
117,41.283
118,41.143
119,40.994
120,40.890
121,40.724
122,40.714
123,40.718
124,40.547
125,40.824
126,40.814
127,40.867
128,40.889
129,40.979
130,41.439
131,41.189
132,41.197
133,41.039
134,40.817
135,40.788
136,40.876
137,40.851
138,40.780
139,40.937
140,40.760
141,41.551
142,41.025
143,41.012
144,40.691
145,40.708
146,40.970
147,40.965
148,40.735
149,41.668
150,40.655
151,40.809
152,41.165
153,41.152
154,41.236
155,41.098
156,40.933
157,41.026
158,40.958
159,40.997
161,40.862
162,40.861
164,40.665
165,40.709
166,40.740
167,40.718
168,40.776
169,40.773
170,40.793
171,40.864
172,41.042
173,40.700
174,40.654
175,40.655
176,40.681
177,40.676
178,40.591
179,40.636
180,40.588
181,40.579
182,40.577
184,40.596
186,40.554
188,40.579
190,40.582
191,40.579
192,40.585
193,40.570
195,40.573
196,40.578
197,40.614
198,40.605
199,40.655
200,40.590
201,40.599
202,40.641
203,41.617
204,40.813
205,40.548
206,40.548
208,40.549
209,40.557
210,40.556
211,40.740
212,40.745
213,40.820
214,40.741
215,40.715
216,40.747
217,40.744
218,40.796
220,40.642
221,40.601
222,40.584
223,40.648
224,40.667
225,40.674
227,40.635
228,40.649
229,40.670
231,40.601
233,40.630
234,40.606
235,40.645
238,40.597
43,40.593
160,41.036
163,40.822
183,40.580
185,40.554
187,40.578
189,40.575
194,40.569
207,40.549
219,40.734
226,40.636
230,40.597
232,40.687
236,40.594
237,40.593
